('aa', 'aa')
('seam', 'maes')
('secret', 'terces')
('seder', 'redes')
('sedile', 'elides')
('seed', 'dees')
('seeks', 'skees')
('seel', 'lees')
('seep', 'pees')
('seer', 'rees')
('sees', 'sees')
('seined', 'denies')
('selah', 'hales')
('selahs', 'shales')
('selles', 'selles')
('seme', 'emes')
('sememes', 'sememes')
('semes', 'semes')
('semina', 'animes')
('senega', 'agenes')
('ser', 'res')
('sera', 'ares')
('serac', 'cares')
('seracs', 'scares')
('seral', 'lares')
('seres', 'seres')
('serif', 'fires')
('serum', 'mures')
('seta', 'ates')
('seton', 'notes')
('seven', 'neves')
('sexed', 'dexes')
('sexes', 'sexes')
('shad', 'dahs')
('shah', 'hahs')
('shahs', 'shahs')
('shales', 'selahs')
('shoo', 'oohs')
('si', 'is')
('sib', 'bis')
('sim', 'mis')
('sima', 'amis')
('sip', 'pis')
('sirra', 'arris')
('sirs', 'sris')
('sirup', 'puris')
('sis', 'sis')
('sit', 'tis')
('six', 'xis')
('skees', 'seeks')
('skeets', 'steeks')
('skips', 'spiks')
('skua', 'auks')
('slab', 'bals')
('slag', 'gals')
('slap', 'pals')
('sled', 'dels')
('sleek', 'keels')
('sleep', 'peels')
('sleeps', 'speels')
('sleets', 'steels')
('slim', 'mils')
('slipup', 'pupils')
('slit', 'tils')
('sloid', 'diols')
('sloop', 'pools')
('sloops', 'spools')
('slop', 'pols')
('slug', 'guls')
('smart', 'trams')
('smug', 'gums')
('smuts', 'stums')
('snap', 'pans')
('snaps', 'spans')
('snaw', 'wans')
('snawed', 'dewans')
('snaws', 'swans')
('sned', 'dens')
('snib', 'bins')
('snip', 'pins')
('sniper', 'repins')
('snips', 'spins')
('snit', 'tins')
('snivel', 'levins')
('snool', 'loons')
('snoop', 'poons')
('snoops', 'spoons')
('snoot', 'toons')
('snot', 'tons')
('snow', 'wons')
('snub', 'buns')
('snug', 'guns')
('so', 'os')
('sob', 'bos')
('sod', 'dos')
('soda', 'ados')
('solon', 'nolos')
('solos', 'solos')
('son', 'nos')
('sore', 'eros')
('sos', 'sos')
('sotol', 'lotos')
('sow', 'wos')
('spacer', 'recaps')
('span', 'naps')
('spank', 'knaps')
('spans', 'snaps')
('spar', 'raps')
('spas', 'saps')
('spat', 'taps')
('spay', 'yaps')
('speed', 'deeps')
('speels', 'sleeps')
('spider', 'redips')
('spik', 'kips')
('spiks', 'skips')
('spin', 'nips')
('spins', 'snips')
('spirt', 'trips')
('spirts', 'strips')
('spit', 'tips')
('spool', 'loops')
('spools', 'sloops')
('spoons', 'snoops')
('sports', 'strops')
('spot', 'tops')
('spots', 'stops')
('sprat', 'tarps')
('sprits', 'stirps')
('spud', 'dups')
('sris', 'sirs')
('stab', 'bats')
('stag', 'gats')
('stang', 'gnats')
('star', 'rats')
('stared', 'derats')
('staw', 'wats')
('steek', 'keets')
('steeks', 'skeets')
('steel', 'leets')
('steels', 'sleets')
('stellas', 'sallets')
('step', 'pets')
('stets', 'stets')
('stew', 'wets')
('stime', 'emits')
('stink', 'knits')
('stinker', 'reknits')
('stirps', 'sprits')
('stob', 'bots')
('stool', 'loots')
('stop', 'pots')
('stoped', 'depots')
('stops', 'spots')
('stow', 'wots')
('stows', 'swots')
('strap', 'parts')
('straw', 'warts')
('stressed', 'desserts')
('stria', 'airts')
('strid', 'dirts')
('strips', 'spirts')
('strop', 'ports')
('strops', 'sports')
('strow', 'worts')
('struts', 'sturts')
('stub', 'buts')
('stum', 'muts')
('stums', 'smuts')
('stun', 'nuts')
('sturts', 'struts')
('sub', 'bus')
('subah', 'habus')
('suber', 'rebus')
('sum', 'mus')
('sun', 'nus')
('sung', 'gnus')
('sup', 'pus')
('swam', 'maws')
('swang', 'gnaws')
('swans', 'snaws')
('swap', 'paws')
('sward', 'draws')
('swat', 'taws')
('sway', 'yaws')
('swob', 'bows')
('swop', 'pows')
('swot', 'tows')
('swots', 'stows')
('ta', 'at')
('tab', 'bat')
('tae', 'eat')
('tag', 'gat')
('tam', 'mat')
('tang', 'gnat')
('tao', 'oat')
('tap', 'pat')
('taps', 'spat')
('tar', 'rat')
('tared', 'derat')
('tarp', 'prat')
('tarps', 'sprat')
('tas', 'sat')
('tat', 'tat')
('tav', 'vat')
('taw', 'wat')
('taws', 'swat')
('teem', 'meet')
('teemer', 'remeet')
('teg', 'get')
('telfer', 'reflet')
('ten', 'net')
('tenet', 'tenet')
('tenner', 'rennet')
('terces', 'secret')
('terret', 'terret')
('tew', 'wet')
('ti', 'it')
('tide', 'edit')
('til', 'lit')
('tiler', 'relit')
('tils', 'slit')
('time', 'emit')
('timed', 'demit')
('timer', 'remit')
('tin', 'nit')
('tinker', 'reknit')
('tins', 'snit')
('tip', 'pit')
('tips', 'spit')
('tis', 'sit')
('tit', 'tit')
('tod', 'dot')
('tog', 'got')
('tom', 'mot')
('ton', 'not')
('tons', 'snot')
('too', 'oot')
('tool', 'loot')
('toom', 'moot')
('toons', 'snoot')
('toot', 'toot')
('top', 'pot')
('toped', 'depot')
('tops', 'spot')
('tor', 'rot')
('tort', 'trot')
('tot', 'tot')
('tow', 'wot')
('tows', 'swot')
('trad', 'dart')
('tram', 'mart')
('trams', 'smart')
('trap', 'part')
('tressed', 'dessert')
('trig', 'girt')
('trips', 'spirt')
('trop', 'port')
('trot', 'tort')
('trow', 'wort')
('tub', 'but')
('tuba', 'abut')
('tubed', 'debut')
('tuber', 'rebut')
('tug', 'gut')
('tun', 'nut')
('tup', 'put')
('tut', 'tut')
('un', 'nu')
('vat', 'tav')
('vav', 'vav')
('wad', 'daw')
('wans', 'snaw')
('wap', 'paw')
('war', 'raw')
('ward', 'draw')
('warder', 'redraw')
('warts', 'straw')
('was', 'saw')
('wat', 'taw')
('wats', 'staw')
('waw', 'waw')
('way', 'yaw')
('wed', 'dew')
('wen', 'new')
('wet', 'tew')
('wets', 'stew')
('wo', 'ow')
('wolf', 'flow')
('wolfer', 'reflow')
('won', 'now')
('wons', 'snow')
('wop', 'pow')
('wort', 'trow')
('worts', 'strow')
('wos', 'sow')
('wot', 'tow')
('wots', 'stow')
('wow', 'wow')
('xis', 'six')
('ya', 'ay')
('yah', 'hay')
('yak', 'kay')
('yam', 'may')
('yap', 'pay')
('yaps', 'spay')
('yar', 'ray')
('yard', 'dray')
('yaw', 'way')
('yaws', 'sway')
('yay', 'yay')
('yeh', 'hey')
